38,14
20,22
220,172
1150,172
30,30
60,16
25,20
40,16
66,50
38,35
36,6
34,22
114,141
259,40
465,248
6,11
208,141
62,50
66,46
76,33
144,56
27,12
50,35
189,141
326,172
11,6
52,40
77,12
12,18
17,6
36,6
130,46
143,46
173,132
75,32
100,40
21,30
38,16
31,20
106,46
111,46
46,16
14,12
29,30
269,172
368,16
20,12
26,30
24,12
237,46
44,16
208,46
36,16
1144,367
61,33
80,40
45,14
16,11
40,22
136,86
32,16
134,141
53,32
24,17
28,12
45,40
38,17
510,248
24,20
45,22
36,16
132,40
33,12
277,172
12,11
27,22
71,12
120,22
16,12
138,46
214,46
116,32
66,32
69,11
