38,26
20,22
220,172
1150,405
30,14
60,26
25,16
40,62
66,52
38,35
36,6
34,29
114,141
259,65
465,367
6,6
208,141
62,58
66,46
76,33
144,60
27,12
50,35
189,141
326,248
11,7
52,40
77,14
12,7
17,6
36,6
130,46
143,86
173,132
75,42
100,46
21,14
38,16
31,16
106,86
111,86
46,16
14,12
29,17
269,172
368,16
20,12
26,17
24,12
237,93
44,16
208,86
36,16
1144,510
61,33
80,54
45,22
16,11
40,22
136,100
32,16
134,141
53,50
24,22
28,14
45,40
38,22
510,465
24,11
45,22
36,16
132,46
33,23
277,248
12,16
27,22
71,26
120,33
16,12
138,86
214,100
116,32
66,49
69,11
