510,277
14,16
133,214
237,32
248,277
46,144
1144,277
198,72
38,22
269,277
21,144
16,20
60,26
25,16
65,32
11,40
208,32
36,22
318,277
33,32
132,214
36,22
636,277
18,40
62,26
100,214
12,16
38,72
51,214
52,26
52,144
35,72
32,16
12,16
26,22
30,72
50,72
18,6
32,16
30,16
465,277
80,26
33,16
27,40
510,277
50,26
62,32
24,16
20,20
34,40
32,26
489,277
66,26
50,26
77,40
76,26
70,32
274,22
23,72
40,26
45,32
70,26
7,6
45,26
42,144
34,144
915,277
132,32
14,20
67,40
36,22
53,72
28,72
50,26
76,32
17,22
38,16
24,144
66,26
30,22
58,32
86,26
66,144
40,16
