141,144,465
60,50,144
36,30,50
33,66,30
212,93,510
214,93,465
138,66,40
62,50,40
24,12,20
14,16,20
7,12,12
37,40,12
133,93,144
22,40,24
30,16,40
67,144,12
14,12,40
18,12,12
34,40,40
198,144,510
22,40,50
32,22,50
20,12,20
32,22,30
140,93,274
208,93,465
370,93,465
66,144,30
35,30,30
65,80,144
36,50,50
76,30,30
70,80,66
50,66,40
17,40,50
71,66,32
40,50,24
60,144,40
45,72,30
27,50,24
16,12,24
62,144,40
69,12,24
52,22,50
38,12,45
28,30,30
58,66,30
33,30,30
29,40,50
38,22,30
132,30,144
46,144,40
18,10,12
248,93,465
109,144,40
106,93,465
49,32,40
16,12,20
214,93,465
45,50,50
277,30,465
6,10,45
307,74,397
11,12,12
36,30,30
18,12,40
120,144,510
26,144,40
42,50,30
17,40,50
75,50,144
45,22,40
54,80,144
915,93,1144
138,86,93
32,144,40
510,465,1144
34,50,30
51,93,144
60,66,50
66,66,30
27,40,50
132,93,465
130,93,144
