42,66
45,50
189,915
33,45
70,50
45,50
31,22
36,22
53,22
49,66
40,50
38,30
138,50
465,367
397,307
32,50
1150,915
71,50
489,367
76,30
44,22
248,510
144,120
35,30
20,22
32,116
106,277
52,50
19,50
32,50
173,214
510,188
11,50
130,214
185,277
26,50
405,367
141,915
133,214
45,50
259,120
29,50
16,50
60,66
132,66
326,214
212,188
1144,367
63,116
368,274
40,50
70,46
140,188
111,143
18,22
24,50
69,50
198,274
100,510
208,277
93,143
37,22
40,50
144,120
172,277
32,22
51,116
33,50
24,50
114,277
67,50
40,50
33,50
20,50
62,22
58,50
62,50
36,50
21,50
208,307
92,120
60,32
17,50
636,277
