38,17
20,22
220,172
1150,318
30,14
60,16
25,11
40,16
66,50
38,35
36,6
34,40
114,141
259,54
465,248
6,6
208,141
62,50
66,46
76,33
144,60
27,12
50,35
189,141
326,172
11,7
52,40
77,14
12,18
17,6
36,6
130,46
143,46
173,132
75,32
100,46
21,14
38,16
31,11
106,46
111,46
46,16
14,12
29,17
269,172
368,16
20,12
26,17
24,12
237,86
44,16
208,46
36,16
1144,367
61,33
80,40
45,14
16,11
40,22
136,86
32,16
134,141
53,49
24,17
28,14
45,40
38,17
510,367
24,11
45,18
36,16
132,46
33,23
277,172
12,11
27,22
71,16
120,33
16,12
138,46
214,100
116,32
66,49
69,11
